Geocode,Employment Rate
59010238,59.7
59010239,67.7
59010240,68.9
59010241,64.0
59010242,68.4
59010228,46.5
59010229,71.4
59010230,58.4
59010231,74.0
59010232,58.9
59010233,68.5
59010234,75.9
59010217,58.8
59010218,71.1
59010219,80.0
59010220,67.1
59010221,62.3
59010222,69.0
59010223,68.4
59010226,79.4
59010255,65.7
59010224,75.4
59010227,69.5
59010248,64.6
59010254,62.8
59010210,56.2
59010211,42.2
59010212,57.8
59010213,54.8
59010166,66.7
59010167,57.1
59010168,64.1
59010169,67.0
59010170,57.7
59010171,64.4
59010172,45.9
59010173,61.5
59010174,67.7
59010175,54.7
59010176,59.1
59010177,66.7
59010178,61.3
59010179,61.0
59010180,65.0
59010181,58.5
59010183,43.4
59010184,61.1
59010185,49.5
59010186,63.0
59010187,66.7
59010188,50.0
59010189,65.4
59010190,56.2
59010191,61.9
59010192,67.1
59010193,52.0
59010194,70.5
59010195,66.7
59010196,60.3
59010197,68.0
59010198,40.2
59010199,59.7
59010200,49.1
59010202,57.7
59010207,62.2
59010245,40.0
59010150,54.3
59010151,47.7
59010152,52.2
59010153,57.7
59010154,52.1
59010155,67.8
59010156,53.4
59010157,64.8
59010158,57.6
59010159,55.2
59010160,65.2
59010161,58.2
59010162,54.8
59010143,60.2
59010164,53.7
59010165,64.1
59010182,58.4
59010204,54.5
59010205,64.0
59010206,57.3
59010208,47.1
59010209,64.4
59010244,54.9
59010141,52.2
59010142,52.9
59010149,50.6
59010163,58.2
59010128,58.9
59010129,61.6
59010130,67.5
59010131,67.1
59010132,68.3
59010133,68.2
59010126,47.1
59010139,56.5
59010134,56.1
59010135,50.0
59010137,58.1
59010138,57.6
59010140,57.1
59010123,54.7
59010124,67.0
59010125,59.6
59010214,46.2
59010146,65.4
59010136,56.5
59010127,71.7
59030209,35.6
59030210,33.0
59030211,32.1
59030212,51.5
59030213,46.8
59030214,44.1
59030215,51.4
59030216,40.7
59030217,45.8
59030218,43.5
59030226,45.3
59030227,35.7
59030228,31.1
59030237,51.2
59030200,37.7
59030201,53.6
59030207,43.6
59030208,41.0
59030220,48.7
59030221,48.4
59030222,42.0
59030223,44.0
59030224,45.8
59030225,42.3
59030144,51.3
59030145,64.4
59030146,55.1
59030147,63.3
59030148,59.8
59030149,50.6
59030150,52.4
59030151,75.3
59030152,68.0
59030153,61.0
59030154,72.8
59030155,51.4
59030156,59.6
59030157,55.6
59030158,68.8
59030160,71.2
59030161,58.4
59030162,62.7
59030164,52.3
59030204,55.4
59030205,54.9
59030219,56.9
59030138,48.8
59030239,43.6
59030246,56.2
59030136,40.0
59030135,46.8
59030238,43.8
59030241,48.9
59030244,54.3
59030159,70.7
59030163,68.1
59030167,67.9
59030229,39.7
59030230,44.6
59030231,42.7
59030232,56.2
59030142,59.7
59030143,46.4
59030165,60.7
59030166,66.4
59030169,62.6
59030233,45.9
59030234,50.8
59030235,59.6
59030178,46.8
59030180,50.0
59030181,51.5
59030182,55.4
59030183,46.7
59030184,63.1
59030185,51.4
59030189,44.3
59030190,51.8
59030191,61.3
59030192,65.4
59030193,61.5
59030197,63.2
59030198,53.7
59030199,54.2
59030202,45.3
59030203,57.0
59030129,51.4
59030130,48.3
59030131,58.8
59030134,45.2
59030137,57.0
59030139,52.7
59030140,52.3
59030141,58.8
59030170,69.2
59030173,73.4
59030174,52.1
59030175,47.7
59030171,68.1
59030172,58.2
59030176,54.1
59030177,52.9
59030179,40.0
59030186,60.3
59030187,57.3
59030188,51.0
59030194,63.5
59030195,56.1
59030128,41.2
59030132,66.3
59030242,24.1
59030243,27.9
59030206,50.0
59050108,59.7
59050111,49.4
59050115,55.3
59050102,51.1
59050103,52.4
59050090,51.4
59050091,45.9
59050092,54.9
59050093,49.5
59050094,37.8
59050095,45.2
59050096,43.3
59050097,57.1
59050098,52.1
59050099,57.6
59050100,40.6
59050105,40.0
59050087,54.5
59050088,54.4
59050089,55.7
59050081,64.3
59050082,58.9
59050083,65.9
59050084,63.5
59050085,60.5
59050086,71.9
59050101,54.0
59050109,76.4
59050110,55.3
59050118,57.5
59050080,54.8
59050106,50.4
59050067,39.4
59050068,48.0
59050069,51.8
59050070,43.7
59050071,49.4
59050072,40.6
59050073,47.6
59050112,30.7
59050064,32.2
59050076,42.9
59050077,55.4
59050078,36.5
59050065,50.4
59050066,38.6
59050074,44.5
59050075,55.2
59050079,47.5
59050062,54.9
59050063,53.4
59050113,63.9
59050114,46.2
59070284,30.6
59070285,52.0
59070286,44.2
59070287,25.7
59070288,45.7
59070291,37.0
59070292,47.1
59070293,42.1
59070294,24.1
59070153,38.2
59070154,33.3
59070162,50.0
59070163,51.9
59070164,47.8
59070165,45.6
59070166,37.7
59070167,55.4
59070168,41.4
59070169,39.1
59070282,52.6
59070283,47.1
59070289,47.1
59070290,47.4
59070137,37.0
59070139,56.7
59070140,46.8
59070141,54.3
59070142,57.0
59070155,39.8
59070157,50.0
59070160,63.5
59070161,51.7
59070170,52.9
59070171,52.3
59070277,27.5
59070279,55.9
59070280,45.5
59070281,67.2
59070183,50.5
59070184,44.9
59070185,58.4
59070186,63.5
59070187,40.9
59070188,47.4
59070189,24.5
59070190,34.4
59070191,50.0
59070192,47.2
59070193,70.6
59070194,60.0
59070195,50.6
59070196,39.8
59070197,40.3
59070198,53.9
59070199,59.7
59070200,63.0
59070201,61.6
59070202,63.6
59070203,60.2
59070204,61.2
59070208,50.0
59070209,45.0
59070210,40.7
59070211,67.7
59070212,49.5
59070213,27.0
59070214,61.8
59070215,33.6
59070216,50.0
59070217,64.5
59070218,68.2
59070219,65.4
59070220,58.9
59070221,55.4
59070222,54.5
59070227,70.2
59070228,54.5
59070229,65.5
59070230,62.7
59070231,60.0
59070232,60.0
59070233,60.0
59070234,57.7
59070235,66.3
59070236,61.5
59070237,54.3
59070238,61.7
59070239,48.9
59070240,46.6
59070241,52.2
59070242,57.0
59070243,67.3
59070244,57.5
59070245,65.6
59070246,35.9
59070247,56.0
59070248,51.1
59070249,46.7
59070250,51.0
59070252,30.6
59070253,38.4
59070254,40.0
59070255,50.5
59070256,45.6
59070257,60.0
59070258,41.4
59070259,12.6
59070260,36.0
59070261,51.1
59070264,39.7
59070266,56.8
59070267,58.9
59070268,52.0
59070269,62.1
59070270,53.4
59070271,73.7
59070272,60.4
59070273,65.7
59070296,25.5
59070297,47.4
59070298,46.1
59070172,47.8
59070173,53.1
59070174,50.9
59070175,56.2
59070176,48.3
59070177,47.5
59070178,61.8
59070206,45.4
59070274,65.2
59070275,54.1
59070276,27.5
59070223,58.9
59070224,57.5
59070225,53.8
59070226,55.8
59070180,55.6
59070181,56.7
59070182,55.2
59070205,70.0
59070146,33.0
59070149,39.1
59070151,47.7
59070152,53.8
59070135,48.8
59070136,42.7
59070145,51.1
59070302,49.5
59070156,55.6
59070303,46.9
59070304,5.0
59070207,7.7
59070299,15.1
59070306,61.0
59070307,40.0
59070308,45.8
59070158,41.7
59070147,40.0
59070148,53.8
59090636,44.2
59090637,39.0
59090638,30.0
59090639,39.4
59090644,51.0
59090645,40.8
59090646,46.7
59090647,62.1
59090648,51.2
59090649,45.3
59090650,51.3
59090651,47.1
59090810,29.6
59090803,36.9
59090804,53.4
59090526,53.5
59090530,59.2
59090531,60.0
59090532,52.4
59090533,64.0
59090534,69.9
59090535,61.8
59090536,20.3
59090537,55.0
59090538,66.2
59090539,59.6
59090540,64.7
59090541,53.6
59090542,54.6
59090543,57.1
59090544,51.9
59090545,57.4
59090546,71.8
59090547,43.7
59090550,48.5
59090551,53.1
59090552,36.9
59090553,43.9
59090554,61.1
59090555,34.5
59090556,64.5
59090557,39.1
59090559,39.3
59090564,52.2
59090565,71.8
59090566,54.4
59090567,48.8
59090568,59.3
59090569,61.5
59090570,57.1
59090571,70.3
59090577,57.8
59090578,64.6
59090579,55.3
59090580,64.4
59090581,57.9
59090582,61.2
59090583,52.4
59090584,57.5
59090585,58.2
59090586,69.6
59090592,59.0
59090593,58.6
59090594,67.5
59090596,70.7
59090597,54.2
59090598,53.8
59090655,63.8
59090657,56.2
59090660,63.7
59090661,71.2
59090662,72.6
59090664,75.6
59090665,64.9
59090666,62.5
59090670,71.7
59090671,56.3
59090680,67.0
59090681,53.8
59090682,53.1
59090683,66.7
59090684,56.3
59090687,67.1
59090688,57.9
59090689,35.6
59090690,35.3
59090691,67.2
59090692,67.3
59090694,70.3
59090696,69.9
59090702,44.9
59090703,51.4
59090704,36.8
59090707,69.8
59090708,73.3
59090709,69.5
59090710,72.3
59090711,69.6
59090713,60.5
59090714,67.7
59090716,66.2
59090768,73.2
59090816,66.3
59090817,66.2
59090818,58.2
59090819,69.6
59090820,58.5
59090821,71.8
59090822,60.8
59090824,38.9
59090825,36.4
59090826,50.7
59090828,56.9
59090829,41.2
59090830,36.7
59090831,64.5
59090832,51.4
59090836,60.2
59090837,58.2
59090838,59.4
59090839,64.3
59090841,74.3
59090842,68.1
59090845,66.2
59090846,69.4
59090847,57.0
59090848,61.9
59090849,69.1
59090850,70.5
59090851,63.6
59090852,75.5
59090853,61.5
59090854,49.1
59090856,59.1
59090857,65.6
59090859,54.3
59090861,62.1
59090863,60.9
59090864,69.4
59090865,63.6
59090866,70.5
59090868,39.6
59090869,58.1
59090612,44.9
59090613,50.0
59090614,38.9
59090603,54.2
59090605,37.1
59090606,50.7
59090607,48.1
59090608,48.4
59090609,51.6
59090610,65.2
59090615,63.8
59090617,67.1
59090600,65.5
59090601,55.3
59090725,69.8
59090727,50.0
59090729,62.9
59090730,55.4
