Geocode,Median Income
59010238,55104
59010239,60736
59010240,55936
59010241,55040
59010242,58752
59010228,31168
59010229,53568
59010230,42240
59010231,41408
59010232,34816
59010233,61632
59010234,55168
59010217,45568
59010218,38912
59010219,33600
59010220,34368
59010221,41856
59010222,51157
59010223,35904
59010226,49024
59010255,40917
59010224,42688
59010227,41728
59010248,40576
59010254,40832
59010210,34560
59010211,34048
59010212,31392
59010213,36352
59010166,32640
59010167,31744
59010168,34560
59010169,42965
59010170,41856
59010171,42752
59010172,34261
59010173,33984
59010174,35840
59010175,38784
59010176,39936
59010177,37069
59010178,40141
59010179,35328
59010180,42112
59010181,51712
59010183,29504
59010184,29888
59010185,25408
59010186,26048
59010187,30048
59010188,22912
59010189,22485
59010190,26923
59010191,27936
59010192,38059
59010193,33408
59010194,34688
59010195,37760
59010196,32576
59010197,32640
59010198,26224
59010199,25728
59010200,31936
59010202,37472
59010207,46251
59010245,37504
59010150,36352
59010151,39040
59010152,36160
59010153,33459
59010154,33237
59010155,38912
59010156,39168
59010157,33493
59010158,32096
59010159,33536
59010160,34496
59010161,32512
59010162,36651
59010143,38272
59010164,36864
59010165,40448
59010182,32704
59010204,41600
59010205,42560
59010206,40747
59010208,38528
59010209,40640
59010244,37120
59010141,31893
59010142,32960
59010149,38357
59010163,36928
59010128,35968
59010129,37589
59010130,34752
59010131,33792
59010132,41088
59010133,41856
59010126,40448
59010139,32704
59010134,40512
59010135,35136
59010137,36576
59010138,37163
59010140,35232
59010123,35392
59010124,35797
59010125,36053
59010127,29888
59030209,27648
59030210,24043
59030211,28992
59030212,25024
59030213,24544
59030214,25984
59030215,24512
59030216,21568
59030217,28992
59030226,29248
59030227,27072
59030228,25152
59030237,23280
59030200,24128
59030201,27264
59030207,27968
59030208,23424
59030220,28768
59030221,24752
59030222,25408
59030223,23232
59030224,26304
59030225,24064
59030144,32800
59030145,36224
59030146,32320
59030147,28416
59030148,30784
59030149,22848
59030150,29931
59030151,24939
59030152,29120
59030153,30336
59030154,32704
59030155,36224
59030156,34261
59030157,34048
59030158,27840
59030160,32960
59030161,35872
59030162,38816
59030164,29984
59030204,26688
59030205,24256
59030219,27584
59030138,22080
59030239,22720
59030246,25515
59030135,22720
59030238,22251
59030241,23872
59030244,31296
59030159,25792
59030163,29675
59030167,33178
59030229,29568
59030230,30101
59030231,30912
59030232,26112
59030142,36224
59030143,39616
59030165,42560
59030166,38528
59030169,42368
59030233,36736
59030234,32576
59030235,32794
59030178,28448
59030180,29888
59030181,24320
59030182,31392
59030183,26912
59030184,30944
59030185,28565
59030189,40789
59030190,28032
59030191,30528
59030192,47872
59030193,42144
59030197,42368
59030198,36288
59030199,24224
59030202,24576
59030203,22784
59030129,31051
59030130,23840
59030131,29632
59030134,25408
59030137,21056
